LK_SL_TRIAL_L4_DATA_ID;LK_EXPERIMENT_EXPERIMENT_ID;YEAR;SPECIES_GROUP;SPECIES;SPECIES_SPECIFICITY;ORIGIN;SL_TRIAL;REPLICATION_NUM;ENTRY_NUM;LK_STOCK_S1_DATA_ID;STATUS;CULTURE_UNIT_X;CULTURE_UNIT_Y;CULTURE_UNIT_ROUTE_NUM;DESIGN_PLOT_CODE;DESIGN_X;DESIGN_Y;TRANSFER_APPY;SPECIES_ID;SPECIES_SPECIFICITY_ID;PLOT_DEFINITION_HASH
373138;44201;2016;7;T;-;RC;TD_TA_51;1;28;501;;11;1;;110;10;1;1;12;25;
349586;44298;2016;7;T;-;RC;TD_TI_04;2;34;527;T;71;7;;231;31;1;1;12;25;
349423;44296;2016;7;T;-;RC;TD_TI_02;2;34;527;T;61;10;784;231;31;1;1;12;25;
5438942;24055;2018;7;T;-;RC;SG_05;1;48;527;T;98;15;;144;4;4;0;12;25;
5438340;24057;2018;7;T;-;RC;SI_05;1;47;527;T;111;13;;122;2;2;0;12;25;
5438344;24057;2018;7;T;-;RC;SI_05;1;49;527;T;115;17;;166;6;6;0;12;25;
5438125;25332;2018;7;T;-;RC;VW_05;1;48;527;T;39;11;;144;4;4;0;12;25;
5438124;25332;2018;7;T;-;RC;VW_05;1;49;527;T;41;13;;166;6;6;0;12;25;
5438766;25333;2018;7;T;-;RC;SB_05;1;47;527;T;60;13;;122;2;2;0;12;25;
5438769;25333;2018;7;T;-;RC;SB_05;1;48;527;T;62;15;;144;4;4;0;12;25;
5438868;24001;2018;7;T;-;RC;SD_05;1;48;527;T;77;15;;144;4;4;0;12;25;
5438866;24001;2018;7;T;-;RC;SD_05;1;49;527;T;79;17;;166;6;6;0;12;25;
5497441;25872;2018;7;T;-;RC;VC_05;1;47;527;T;2;16;;122;2;2;0;12;25;
5497447;25872;2018;7;T;-;RC;VC_05;1;48;527;T;4;18;;144;4;4;0;12;25;
5497448;25872;2018;7;T;-;RC;VC_05;1;49;527;T;6;20;;166;6;6;0;12;25;
5437343;25383;2018;7;T;-;RC;VM_05;1;47;527;T;16;16;;122;2;2;0;12;25;
5437320;25383;2018;7;T;-;RC;VM_05;1;48;527;T;18;18;;144;4;4;0;12;25;
5438120;25332;2018;7;T;-;RC;VW_05;1;47;527;T;37;9;;122;2;2;0;12;25;
5491072;25852;2018;7;T;-;RC;TO_05;2;35;527;T;47;13;;211;11;1;0;12;25;
5491268;25845;2018;7;T;-;RC;TQ_05;1;35;527;T;47;15;;129;29;1;0;12;25;
5497540;25811;2018;7;T;-;RC;VA_05;1;49;527;T;6;6;;166;6;6;0;12;25;
5497586;25818;2018;7;T;-;RC;VB_05;1;47;527;T;2;9;;122;2;2;0;12;25;
5497589;25818;2018;7;T;-;RC;VB_05;1;48;527;T;4;11;;144;4;4;0;12;25;
5497583;25818;2018;7;T;-;RC;VB_05;1;49;527;T;6;13;;166;6;6;0;12;25;
5495701;25777;2018;7;T;-;RC;TD_08;1;27;527;T;65;7;;128;28;1;0;12;25;
5494840;25791;2018;7;T;-;RC;TH_02;1;27;527;T;68;9;;108;8;1;0;12;25;
5492485;25736;2018;7;T;-;RC;TK_04;2;35;527;T;11;12;;211;11;1;0;12;25;
5492107;25800;2018;7;T;-;RC;TL_05;2;35;527;T;29;13;;211;11;1;0;12;25;
5492845;25807;2018;7;T;-;RC;TM_05;2;35;527;T;47;5;;211;11;1;0;12;25;
5491074;25852;2018;7;T;-;RC;TO_05;1;35;527;T;44;12;;129;8;2;0;12;25;
5463610;25749;2018;7;T;-;RC;TB_01;1;35;527;T;9;10;;128;9;2;0;12;25;
5463615;25749;2018;7;T;-;RC;TB_01;2;35;527;T;2;12;;235;2;2;0;12;25;
5490918;25711;2018;7;T;-;RC;TC_08;1;31;527;T;133;6;;131;31;1;0;12;25;
