YEAR;SPECIES;SPECIES_SPECIFICITY;ORIGIN;SL_TRIAL;TRANSFER_APPY;SL_TRIAL_HASH;QUALIFICATION;RESULT;SPECIES_ID;SPECIES_SPECIFICITY_ID
2015;O;H;RC;OR_HH_04;1;;SPRAY;N;8;80
2015;O;H;RC;OR_HH_04;1;;SOWING_DATE;02/10/2014;8;80
2015;O;H;RC;OR_HK_04;1;;SPRAY;N;8;80
2015;O;H;RC;OR_HK_04;1;;SOWING_DATE;02/10/2014;8;80
2015;O;H;RC;OR_HM_04;1;;SPRAY;N;8;80
2015;O;H;RC;OR_HM_04;1;;SOWING_DATE;02/10/2014;8;80
2015;O;H;RC;OR_HB_04;1;;SPRAY;N;8;80
2015;O;H;RC;OR_HB_04;1;;SOWING_DATE;01/10/2014;8;80
2015;O;H;RC;OR_HA_01;1;;HARVEST_DATE;30/06/2015;8;80
2015;O;H;RC;OR_HA_01;1;;SOWING_DATE;04/10/2014;8;80
2015;O;H;RC;OR_HB_01;1;;HARVEST_DATE;30/06/2015;8;80
2015;O;H;RC;OR_HB_01;1;;SOWING_DATE;04/10/2014;8;80
2015;O;H;RC;OR_HK_02;1;;HARVEST_DATE;30/06/2015;8;80
2015;O;H;RC;OR_HK_02;1;;SOWING_DATE;03/10/2014;8;80
2015;O;H;RC;OR_HL_02;1;;HARVEST_DATE;30/06/2015;8;80
2015;O;H;RC;OR_HL_02;1;;SOWING_DATE;03/10/2014;8;80
2015;O;H;RC;OR_HH_02;1;;HARVEST_DATE;30/06/2015;8;80
2015;O;H;RC;OR_HH_02;1;;SOWING_DATE;03/10/2014;8;80
2015;O;H;RC;OR_K3_04;0;;HARVEST_DATE;30/06/2015;8;80
2015;O;H;RC;OR_K3_04;0;;SOWING_DATE;03/10/2014;8;80
2015;O;H;RC;OR_C4_45;0;;HARVEST_DATE;30/06/2015;8;80
2015;O;H;RC;OR_C4_45;0;;SOWING_DATE;03/10/2014;8;80
2015;O;H;RC;OR_I5_57;0;;FHB_INO;NO;8;80
2015;O;H;RC;OR_I5_57;0;;FGD;N;8;80
2015;O;H;RC;OR_I5_57;0;;HARVEST_DATE;08/07/2015;8;80
2015;O;H;RC;OR_I5_57;0;;SPRAY;N;8;80
2015;O;H;RC;OR_I5_57;0;;PHOSPHATE;N;8;80
2015;O;H;RC;OR_I5_57;0;;SOWING_DATE;02/10/2014;8;80
2015;O;H;RC;OR_I5_58;0;;FHB_INO;NO;8;80
2015;O;H;RC;OR_I5_58;0;;FGD;N;8;80
2015;O;H;RC;OR_I5_58;0;;HARVEST_DATE;08/07/2015;8;80
2015;O;H;RC;OR_I5_58;0;;SPRAY;N;8;80
2015;O;H;RC;OR_I5_58;0;;PHOSPHATE;N;8;80
2015;O;H;RC;OR_I5_58;0;;SOWING_DATE;02/10/2014;8;80
2015;O;H;RC;OR_I5_41;0;;FHB_INO;NO;8;80
2015;O;H;RC;OR_I5_41;0;;FGD;N;8;80
2015;O;H;RC;OR_I5_41;0;;HARVEST_DATE;08/07/2015;8;80
2015;O;H;RC;OR_I5_41;0;;SPRAY;N;8;80
2015;O;H;RC;OR_I5_41;0;;PHOSPHATE;N;8;80
2015;O;H;RC;OR_I5_41;0;;SOWING_DATE;02/10/2014;8;80
2015;O;H;RC;OR_HL_07;1;;FHB_INO;NO;8;80
2015;O;H;RC;OR_HL_07;1;;FGD;N;8;80
2015;O;H;RC;OR_HL_07;1;;HARVEST_DATE;08/07/2015;8;80
2015;O;H;RC;OR_HL_07;1;;SPRAY;N;8;80
2015;O;H;RC;OR_HL_07;1;;PHOSPHATE;N;8;80
2015;O;H;RC;OR_HL_07;1;;SOWING_DATE;02/10/2014;8;80
2015;O;H;RC;OR_HN_07;1;;FHB_INO;NO;8;80
2015;O;H;RC;OR_HN_07;1;;FGD;N;8;80
2015;O;H;RC;OR_HN_07;1;;HARVEST_DATE;08/07/2015;8;80
2015;O;H;RC;OR_HN_07;1;;SPRAY;N;8;80
2015;O;H;RC;OR_HN_07;1;;PHOSPHATE;N;8;80
2015;O;H;RC;OR_HN_07;1;;SOWING_DATE;02/10/2014;8;80
2015;O;H;RC;OR_HJ_08;1;;FHB_INO;NO;8;80
2015;O;H;RC;OR_HJ_08;1;;FGD;Y;8;80
2015;O;H;RC;OR_HJ_08;1;;HARVEST_DATE;08/07/2015;8;80
2015;O;H;RC;OR_HJ_08;1;;SPRAY;N;8;80
2015;O;H;RC;OR_HJ_08;1;;PHOSPHATE;N;8;80
2015;O;H;RC;OR_HJ_08;1;;SOWING_DATE;03/10/2014;8;80
2015;A;-;RC;AR_57_05;1;;HARVEST_DATE;03/07/2015;5;9
2015;A;-;RC;AR_57_05;1;;SOWING_DATE;04/10/2015;5;9
2015;O;H;RC;OR_AE_07;1;;SOWING_DATE;27/10/2014;8;80
2015;O;H;RC;OR_AG_07;1;;SOWING_DATE;27/10/2014;8;80
2015;O;H;RC;OR_HU_04;0;;SPRAY;N;8;80
2015;O;H;RC;OR_HU_04;0;;SOWING_DATE;27/10/2014;8;80
2015;O;H;RC;OR_K52_04;0;;SPRAY;N;8;80
2015;O;H;RC;OR_K58_04;0;;SPRAY;N;8;80
2015;O;H;RC;OR_K59_04;0;;SPRAY;N;8;80
2015;O;H;RC;OR_AO_05;0;;SPRAY;N;8;80
2015;O;H;RC;OR_K6_04;0;;SPRAY;N;8;80
2015;D;-;RC;DM_TD_04;0;;SOWING_DATE;29/11/2014;7;15
2015;D;-;RC;DM_CL_05;1;;SOWING_DATE;30/11/2014;7;15
2015;D;-;RC;DM_CA_04;0;;SOWING_DATE;30/11/2014;7;15
2015;D;-;RC;DM_GC_05;1;;SOWING_DATE;30/11/2014;7;15
2015;D;-;RC;DM_GE_05;1;;SOWING_DATE;30/11/2014;7;15
2015;D;-;RC;DM_IR_05;1;;SOWING_DATE;30/11/2014;7;15
2015;D;-;RC;DM_HG_05;1;;SOWING_DATE;30/11/2014;7;15
2015;D;-;RC;DM_HY_05;1;;SOWING_DATE;30/11/2014;7;15
2015;D;-;RC;DM_IJ_05;1;;SOWING_DATE;30/11/2014;7;15
2015;D;-;RC;DM_DJ_05;0;;SOWING_DATE;30/11/2014;7;15
2015;D;-;RC;DM_DL_05;0;;SOWING_DATE;30/11/2014;7;15
2015;D;-;RC;DM_DM_05;0;;SOWING_DATE;30/11/2014;7;15
2015;O;H;RC;OR_HT_04;0;;SPRAY;N;8;80
2015;O;H;RC;OR_HT_04;0;;SOWING_DATE;24/09/2014;8;80
2015;O;H;RC;OR_K3_05;0;;SPRAY;N;8;80
2015;O;H;RC;OR_K3_05;0;;SOWING_DATE;27/10/2014;8;80
2015;O;H;RC;OR_C5_05;0;;SPRAY;N;8;80
2015;O;H;RC;OR_C5_05;0;;SOWING_DATE;23/09/2014;8;80
2015;O;H;RC;OR_C4_03;0;;SPRAY;N;8;80
2015;O;H;RC;OR_C4_03;0;;SOWING_DATE;23/09/2014;8;80
2015;O;H;RC;OR_I5_50;0;;SPRAY;N;8;80
2015;O;H;RC;OR_I5_50;0;;SOWING_DATE;23/09/2014;8;80
2015;O;H;RC;OR_G5_04;0;;SPRAY;N;8;80
2015;O;H;RC;OR_G5_04;0;;SOWING_DATE;23/09/2014;8;80
2015;A;-;RC;AR_04_04;1;;SOWING_DATE;09/10/2014;5;9
2015;A;-;RC;AR_01_04;1;;SOWING_DATE;09/10/2014;5;9
2015;T;-;RC;TD_TL_04;0;;SOWING_DATE;16/10/2014;12;25
2015;T;-;RC;TD_TM_04;0;;SOWING_DATE;16/10/2014;12;25
2015;T;-;RC;TD_TE_05;1;;SOWING_DATE;22/10/2014;12;25
2015;T;-;RC;TD_SD_05;1;;SOWING_DATE;22/10/2014;12;25
2015;T;-;RC;TD_VM_05;1;;SOWING_DATE;22/10/2014;12;25
2015;T;-;RC;TD_TK_05;1;;SOWING_DATE;22/10/2014;12;25
2015;T;-;RC;TD_TD_07;1;;SOWING_DATE;22/10/2014;12;25
